Namespace(dataset='movielens', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
current iteration: 	 1
select index length:	 20
idx_select:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
train index length:	 20
train index:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
start training...
Epoch 00040 | Train Acc: 0.9500 | Train Loss: 0.3926 | Valid Acc: 0.3257 | Valid loss: 1.3159 | Time: 0.0361
Epoch 00041 | Train Acc: 0.9000 | Train Loss: 0.4883 | Valid Acc: 0.3606 | Valid loss: 1.2732 | Time: 0.0359
Epoch 00042 | Train Acc: 0.8500 | Train Loss: 0.4663 | Valid Acc: 0.3475 | Valid loss: 1.2769 | Time: 0.0357
Epoch 00043 | Train Acc: 1.0000 | Train Loss: 0.3357 | Valid Acc: 0.3529 | Valid loss: 1.3153 | Time: 0.0356
Epoch 00044 | Train Acc: 0.9000 | Train Loss: 0.3662 | Valid Acc: 0.3431 | Valid loss: 1.3944 | Time: 0.0354
Epoch 00045 | Train Acc: 0.9500 | Train Loss: 0.4252 | Valid Acc: 0.3377 | Valid loss: 1.3718 | Time: 0.0352
Epoch 00046 | Train Acc: 0.9000 | Train Loss: 0.3568 | Valid Acc: 0.3529 | Valid loss: 1.3877 | Time: 0.0351
Epoch 00047 | Train Acc: 0.9000 | Train Loss: 0.3383 | Valid Acc: 0.3704 | Valid loss: 1.3702 | Time: 0.0349
Epoch 00048 | Train Acc: 0.9000 | Train Loss: 0.3270 | Valid Acc: 0.3508 | Valid loss: 1.3950 | Time: 0.0349
Epoch 00049 | Train Acc: 0.8500 | Train Loss: 0.3962 | Valid Acc: 0.3584 | Valid loss: 1.3505 | Time: 0.0348
Epoch 00050 | Train Acc: 0.8500 | Train Loss: 0.3396 | Valid Acc: 0.3660 | Valid loss: 1.3719 | Time: 0.0348
Epoch 00051 | Train Acc: 1.0000 | Train Loss: 0.2803 | Valid Acc: 0.3519 | Valid loss: 1.4308 | Time: 0.0347
Epoch 00052 | Train Acc: 1.0000 | Train Loss: 0.3181 | Valid Acc: 0.3508 | Valid loss: 1.4409 | Time: 0.0346
Epoch 00053 | Train Acc: 0.9500 | Train Loss: 0.2544 | Valid Acc: 0.3649 | Valid loss: 1.4570 | Time: 0.0346
Epoch 00054 | Train Acc: 0.8000 | Train Loss: 0.4275 | Valid Acc: 0.3638 | Valid loss: 1.4427 | Time: 0.0345
Epoch 00055 | Train Acc: 0.9500 | Train Loss: 0.2161 | Valid Acc: 0.3595 | Valid loss: 1.4098 | Time: 0.0344
Epoch 00056 | Train Acc: 0.8000 | Train Loss: 0.3966 | Valid Acc: 0.3486 | Valid loss: 1.4593 | Time: 0.0343
