iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.12676076591014862,0.8954635108481263,0.3936176300048828,0.9201577131591917,0.35888049006462097
2,1.0,0.0968678668141365,0.9122287968441815,0.34570974111557007,0.9191720059142434,0.32830485701560974
3,1.0,0.07101207226514816,0.9132149901380671,0.31944790482521057,0.9191720059142434,0.309597909450531
4,1.0,0.08757239580154419,0.9151873767258383,0.34685683250427246,0.9275505174963036,0.32808777689933777
5,1.0,0.0521976538002491,0.9260355029585798,0.2745002210140228,0.9314933464760966,0.2600894868373871
6,1.0,0.06566724926233292,0.9270216962524654,0.2869049608707428,0.9344504682109414,0.27476194500923157
7,1.0,0.06291984021663666,0.9349112426035503,0.24865110218524933,0.9393790044356826,0.2373245507478714
8,1.0,0.0906447097659111,0.9368836291913215,0.2528988718986511,0.9383932971907344,0.24574194848537445
9,1.0,0.06528791040182114,0.9289940828402367,0.2240609973669052,0.936914736323312,0.21699810028076172
10,1.0,0.09717092663049698,0.9240631163708086,0.24017742276191711,0.9383932971907344,0.2278129607439041
