iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.17999239265918732,0.6775147928994083,0.8271852135658264,0.7092163627402661,0.76563560962677
2,1.0,0.052296094596385956,0.8422090729783037,0.5933920741081238,0.8531296205027107,0.5509277582168579
3,1.0,0.02872968651354313,0.8984220907297831,0.36604490876197815,0.909314933464761,0.34291690587997437
4,1.0,0.05270203575491905,0.8846153846153846,0.4732346832752228,0.8965007392804337,0.4393312931060791
5,1.0,0.04857606813311577,0.9112426035502958,0.3265576660633087,0.917693445046821,0.3096481263637543
6,1.0,0.03691231459379196,0.9240631163708086,0.30757224559783936,0.9275505174963036,0.2996366024017334
7,1.0,0.031215332448482513,0.9191321499013807,0.32240402698516846,0.9063578117299163,0.3170861303806305
8,1.0,0.031006257981061935,0.9220907297830375,0.2918700575828552,0.9260719566288812,0.2929089665412903
9,1.0,0.04378129541873932,0.9260355029585798,0.29496484994888306,0.925086249383933,0.2879929840564728
10,1.0,0.03856734186410904,0.9161735700197239,0.32407084107398987,0.917693445046821,0.31758806109428406
11,1.0,0.045829057693481445,0.9151873767258383,0.3117407262325287,0.9265648102513554,0.30360397696495056
12,1.0,0.039254218339920044,0.9151873767258383,0.29877278208732605,0.9221291276490883,0.29608556628227234
13,1.0,0.031249085441231728,0.9250493096646942,0.27421092987060547,0.9319862000985707,0.26231709122657776
14,1.0,0.03765926510095596,0.9230769230769231,0.26719847321510315,0.9295219319862001,0.2581634521484375
15,1.0,0.05126523599028587,0.9181459566074951,0.3644106686115265,0.9295219319862001,0.3538706302642822
16,1.0,0.03222621604800224,0.9358974358974359,0.2513231039047241,0.932971907343519,0.24576784670352936
17,1.0,0.0481928288936615,0.9260355029585798,0.2482680380344391,0.9403647116806308,0.23861835896968842
18,1.0,0.04706839472055435,0.9161735700197239,0.2948873043060303,0.9285362247412519,0.2864721715450287
19,1.0,0.06265707314014435,0.9309664694280079,0.265625536441803,0.9349433218334154,0.2559214234352112
20,1.0,0.05255906656384468,0.9299802761341223,0.2768489420413971,0.9408575653031049,0.27449846267700195
21,1.0,0.04117736592888832,0.928007889546351,0.24765878915786743,0.9374075899457861,0.2402416616678238
22,1.0,0.051068782806396484,0.9230769230769231,0.28923743963241577,0.925086249383933,0.2871170938014984
23,1.0,0.055569689720869064,0.9329388560157791,0.2738695442676544,0.9349433218334154,0.2721782326698303
24,1.0,0.06259679049253464,0.9230769230769231,0.2779962122440338,0.9305076392311483,0.2698347568511963
25,1.0,0.05029069259762764,0.9250493096646942,0.24661943316459656,0.9324790537210449,0.24043716490268707
26,1.0,0.05190930515527725,0.9339250493096647,0.24779900908470154,0.9354361754558896,0.24815897643566132
27,1.0,0.05175818130373955,0.9270216962524654,0.236170694231987,0.9364218827008378,0.22472821176052094
28,1.0,0.06656662374734879,0.9289940828402367,0.2560712993144989,0.9379004435682602,0.24690978229045868
29,1.0,0.07894182205200195,0.9299802761341223,0.3056352436542511,0.9403647116806308,0.28830283880233765
30,1.0,0.07614439725875854,0.9270216962524654,0.258646696805954,0.9359290290783637,0.2489805519580841
31,1.0,0.06669753044843674,0.9358974358974359,0.23574580252170563,0.9374075899457861,0.2238578200340271
32,1.0,0.07743466645479202,0.9289940828402367,0.28262463212013245,0.9354361754558896,0.2766101360321045
33,1.0,0.06565937399864197,0.9309664694280079,0.24637971818447113,0.9388861508132085,0.23256531357765198
34,1.0,0.08461730182170868,0.9309664694280079,0.2513154149055481,0.9359290290783637,0.2497531920671463
35,1.0,0.0967155247926712,0.9289940828402367,0.27326804399490356,0.9310004928536225,0.2646847665309906
36,1.0,0.08515282720327377,0.928007889546351,0.25991836190223694,0.9403647116806308,0.24020227789878845
37,1.0,0.08404526114463806,0.9299802761341223,0.26898670196533203,0.9319862000985707,0.25726205110549927
38,1.0,0.08265556395053864,0.9260355029585798,0.2750242054462433,0.9314933464760966,0.25643959641456604
39,1.0,0.07859611511230469,0.9240631163708086,0.2487664669752121,0.9364218827008378,0.23060342669487
40,1.0,0.1138492152094841,0.928007889546351,0.2592560350894928,0.9374075899457861,0.2422567754983902
