iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.005708415061235428,0.4738562091503268,1.032834529876709,0.4733115468409586,1.0449614524841309
2,1.0,0.004367924761027098,0.4684095860566449,1.0338993072509766,0.4711328976034858,1.0184649229049683
3,1.0,0.008619101718068123,0.4749455337690632,1.0160411596298218,0.46350762527233114,1.025532841682434
4,1.0,0.0063418010249733925,0.514161220043573,0.9960085153579712,0.5136165577342048,0.9972212910652161
5,1.0,0.006649503950029612,0.5348583877995643,0.9671140909194946,0.528322440087146,0.9686041474342346
6,1.0,0.006055023521184921,0.599128540305011,0.9123197793960571,0.5816993464052288,0.9274746775627136
7,1.0,0.006214126478880644,0.5108932461873639,0.9750498533248901,0.4923747276688453,0.9837118983268738
8,1.0,0.007791575510054827,0.5751633986928104,0.9424688220024109,0.5468409586056645,0.9478577375411987
9,1.0,0.006824438460171223,0.5566448801742919,0.9383252263069153,0.5566448801742919,0.9561779499053955
10,0.9940944881889764,0.012916956096887589,0.5337690631808278,0.956041693687439,0.5544662309368191,0.9354914426803589
11,0.9910554561717353,0.010717999190092087,0.4793028322440087,0.9995766878128052,0.4793028322440087,1.000178575515747
12,0.9934426229508196,0.011631743982434273,0.4564270152505447,1.015263557434082,0.46296296296296297,1.0150673389434814
13,0.9969742813918305,0.011035296134650707,0.6067538126361656,0.8943750262260437,0.5806100217864923,0.928913414478302
14,0.9957865168539326,0.01402773056179285,0.5958605664488017,0.8501367568969727,0.6094771241830066,0.8737361431121826
15,0.9973787680209698,0.015315688215196133,0.5947712418300654,0.8908969163894653,0.5833333333333334,0.9218538403511047
16,0.9963144963144963,0.015278897248208523,0.5348583877995643,0.910521924495697,0.5419389978213508,0.9246574640274048
