iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.006111842580139637,0.4433551198257081,1.0595064163208008,0.4199346405228758,1.0671911239624023
2,1.0,0.006191748194396496,0.4357298474945534,1.0448088645935059,0.45206971677559915,1.0399163961410522
3,1.0,0.00760444812476635,0.5915032679738562,0.9313762187957764,0.5686274509803921,0.9556854963302612
4,1.0,0.007257962599396706,0.42701525054466233,1.054579496383667,0.42320261437908496,1.0633189678192139
5,0.9960474308300395,0.014227092266082764,0.48474945533769065,1.0129374265670776,0.4809368191721133,1.010851502418518
6,1.0,0.0059249671176075935,0.4803921568627451,0.9950440526008606,0.4651416122004357,1.0113918781280518
7,1.0,0.008878066204488277,0.5522875816993464,0.9507202506065369,0.545751633986928,0.9490517973899841
8,1.0,0.0070611657574772835,0.593681917211329,0.9017485976219177,0.5659041394335512,0.9239467978477478
9,0.9978118161925602,0.007950298488140106,0.5751633986928104,0.90285724401474,0.5648148148148148,0.9321249723434448
10,0.9980314960629921,0.01030305027961731,0.5413943355119826,0.9742013216018677,0.5228758169934641,0.9929528832435608
11,0.9946332737030411,0.014251027256250381,0.5087145969498911,1.0117900371551514,0.5049019607843137,1.0216037034988403
12,0.9983606557377049,0.011871407739818096,0.514161220043573,0.9619598984718323,0.5179738562091504,0.9693112373352051
13,0.9924357034795764,0.015812266618013382,0.5370370370370371,0.9300175905227661,0.5484749455337691,0.9358137249946594
14,0.9929775280898876,0.012804394587874413,0.6230936819172114,0.8594688773155212,0.6187363834422658,0.8603314757347107
15,0.9934469200524246,0.012126514688134193,0.6034858387799564,0.8941342830657959,0.6067538126361656,0.8972586989402771
16,0.9901719901719902,0.015201386064291,0.6089324618736384,0.8547329306602478,0.6002178649237473,0.8810716271400452
