iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.012064749374985695,0.9112426035502958,0.37522223591804504,0.9221291276490883,0.3518170416355133
2,1.0,0.015487618744373322,0.9092702169625246,0.3571867346763611,0.929029078363726,0.32805782556533813
3,1.0,0.019226055592298508,0.9132149901380671,0.3492356836795807,0.9117792015771315,0.34125006198883057
4,1.0,0.014782226644456387,0.9270216962524654,0.2926364839076996,0.9354361754558896,0.2775065004825592
5,1.0,0.01511412113904953,0.9270216962524654,0.2650870084762573,0.9438146870379497,0.2441159039735794
6,1.0,0.03410785645246506,0.9240631163708086,0.31441813707351685,0.9324790537210449,0.28842759132385254
7,1.0,0.016743456944823265,0.928007889546351,0.2675792872905731,0.9339576145884673,0.2512810528278351
8,1.0,0.017467951402068138,0.9240631163708086,0.26713940501213074,0.932971907343519,0.25152745842933655
9,1.0,0.013379216194152832,0.9289940828402367,0.24529244005680084,0.9398718580581568,0.22481976449489594
10,1.0,0.018109682947397232,0.9240631163708086,0.25275444984436035,0.9339576145884673,0.24013637006282806
