iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.12089790403842926,0.868836291913215,0.48543673753738403,0.8871365204534253,0.44979363679885864
2,1.0,0.06083716079592705,0.9003944773175543,0.33956724405288696,0.909314933464761,0.31436455249786377
3,1.0,0.042895685881376266,0.9181459566074951,0.3428563177585602,0.9196648595367176,0.325577050447464
4,1.0,0.05087517946958542,0.9230769230769231,0.33825093507766724,0.9226219812715624,0.32637742161750793
5,1.0,0.04648683965206146,0.9230769230769231,0.301654189825058,0.9310004928536225,0.29145437479019165
6,1.0,0.050271935760974884,0.9191321499013807,0.2984040379524231,0.9295219319862001,0.2862270474433899
7,1.0,0.05005380138754845,0.9102564102564102,0.3228593170642853,0.9162148841793987,0.31054872274398804
8,1.0,0.06531970947980881,0.9230769230769231,0.28178349137306213,0.9270576638738295,0.28344282507896423
9,1.0,0.08030734956264496,0.9260355029585798,0.29408809542655945,0.925086249383933,0.28797876834869385
10,1.0,0.061767641454935074,0.9358974358974359,0.26882603764533997,0.9354361754558896,0.2561551332473755
11,1.0,0.05675370991230011,0.9358974358974359,0.24252136051654816,0.9398718580581568,0.23899058997631073
12,1.0,0.10050955414772034,0.9250493096646942,0.3128851354122162,0.9349433218334154,0.2997174859046936
13,1.0,0.07515587657690048,0.9319526627218935,0.26786676049232483,0.9349433218334154,0.25554075837135315
14,1.0,0.08154173195362091,0.9388560157790927,0.2539255619049072,0.9418432725480532,0.23886838555335999
15,1.0,0.09786796569824219,0.9339250493096647,0.25866928696632385,0.9398718580581568,0.23720386624336243
16,0.9987730061349693,0.16888655722141266,0.9161735700197239,0.3689534068107605,0.917200591424347,0.3481449484825134
