iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.011267496272921562,0.42484662576687116,1.8232570886611938,0.4263070433337594,1.8230503797531128
2,1.0,0.012540402822196484,0.53859918200409,1.3925182819366455,0.5442924709190847,1.3950483798980713
3,1.0,0.021149950101971626,0.5508691206543967,1.3731938600540161,0.5505560526652179,1.4005911350250244
4,1.0,0.020985720679163933,0.6278118609406953,1.265482783317566,0.6295538795858366,1.286210060119629
5,0.9975247524752475,0.029530340805649757,0.6267893660531697,1.2353609800338745,0.6244407516298095,1.2547388076782227
6,0.9958762886597938,0.02253786101937294,0.6520961145194274,1.181420087814331,0.6480889684264348,1.2018249034881592
7,1.0,0.026130499318242073,0.6710122699386503,1.1197569370269775,0.6670075418637351,1.1390100717544556
8,0.9891808346213292,0.03464420139789581,0.6643660531697342,1.1264748573303223,0.6638118368912183,1.1602365970611572
9,0.9958791208791209,0.034677181392908096,0.6538854805725971,1.1447473764419556,0.6621500703055094,1.1231578588485718
10,1.0,0.036260008811950684,0.7016871165644172,1.0438014268875122,0.6978141377987984,1.0550451278686523
11,0.996629213483146,0.046399474143981934,0.6827709611451943,1.0872516632080078,0.6748050619966764,1.0836466550827026
12,1.0,0.026969147846102715,0.7124233128834356,1.01774001121521,0.7039498913460309,1.0522269010543823
13,0.9980988593155894,0.04377305507659912,0.6929959100204499,1.038841724395752,0.6901444458647578,1.0455819368362427
14,0.9947043248014121,0.042507246136665344,0.7305725971370143,0.964887261390686,0.7190336188163109,0.9886120557785034
15,0.9950576606260296,0.03911186009645462,0.7154907975460123,0.9603395462036133,0.7169883676339001,0.9716819524765015
16,0.9945945945945946,0.04893060401082039,0.7216257668711656,0.9585383534431458,0.7201840726064169,0.9602868556976318
17,0.9956395348837209,0.05233767256140709,0.7101226993865031,0.9959232807159424,0.716604883037198,0.9759300351142883
18,0.9951956074124915,0.051149968057870865,0.7085889570552147,0.9738339781761169,0.7089351911031574,0.9977080225944519
19,0.9902470741222367,0.05259045213460922,0.7356850715746421,0.9094842672348022,0.7309216413140739,0.9116456508636475
20,0.993823347745522,0.04716937988996506,0.7425869120654397,0.8722357749938965,0.7376965358558097,0.8964573740959167
21,0.9941176470588236,0.05347746983170509,0.7382413087934561,0.8831506967544556,0.7343730026843922,0.9119976758956909
22,0.9938236945536215,0.0458294115960598,0.7523006134969326,0.8758888244628906,0.7497123865524735,0.8979550004005432
23,0.9951664876476907,0.05480904132127762,0.7369631901840491,0.9155754446983337,0.7420426946184329,0.9058753252029419
24,0.993309315491508,0.06673599034547806,0.733640081799591,0.9038977026939392,0.7401252716349227,0.9332551956176758
25,0.9965415019762845,0.057257119566202164,0.7479550102249489,0.8825647234916687,0.7470279943755592,0.885144054889679
26,0.9947743467933492,0.05823489651083946,0.7553680981595092,0.861583948135376,0.755848140099706,0.8483673930168152
27,0.9922232387923148,0.061622485518455505,0.7510224948875256,0.8216404318809509,0.7513741531381822,0.8571216464042664
28,0.9947066607851787,0.054763488471508026,0.7510224948875256,0.8439463973045349,0.7520132941326857,0.8488690853118896
29,0.9927597955706985,0.06475012004375458,0.7476993865030674,0.8669018149375916,0.7476671353700627,0.860672116279602
30,0.9925895430218197,0.05648030340671539,0.7574130879345603,0.8418528437614441,0.7626230346414419,0.8369746804237366
31,0.9936254980079682,0.07026265561580658,0.7581799591002045,0.8205238580703735,0.7573820784865142,0.8400780558586121
32,0.990351215746816,0.05937127768993378,0.7607361963190185,0.8407195210456848,0.767736162597469,0.8295199275016785
33,0.9947604790419161,0.059956785291433334,0.7640593047034765,0.8427916765213013,0.7590438450722229,0.8539347052574158
34,0.9934616781692699,0.06933723390102386,0.7653374233128835,0.837394118309021,0.7701648983765819,0.8409550189971924
35,0.9911785462244178,0.07620926946401596,0.7689161554192229,0.8113109469413757,0.771315352166688,0.821567177772522
36,0.9886792452830189,0.07249099761247635,0.7599693251533742,0.8273087739944458,0.7577655630832162,0.8360957503318787
37,0.9923230974632844,0.07365353405475616,0.7811860940695297,0.7870299816131592,0.7727214623545954,0.8314656019210815
38,0.9873253168670784,0.08059658110141754,0.7712167689161554,0.7924538850784302,0.7670970216029657,0.8020622134208679
39,0.9841671944268524,0.0710698664188385,0.7724948875255624,0.7979304194450378,0.7701648983765819,0.8221098780632019
40,0.9879592466810744,0.07403635233640671,0.7714723926380368,0.7909055352210999,0.7718266649622907,0.7967225313186646
