iter_num,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
1,1.0,0.018095694482326508,0.8333333333333334,0.5370448231697083,0.8284869393790044,0.5258537530899048
2,1.0,0.010964236222207546,0.9260355029585798,0.31026220321655273,0.9359290290783637,0.2936749756336212
3,1.0,0.016042059287428856,0.9151873767258383,0.34556618332862854,0.917693445046821,0.3264235258102417
4,1.0,0.02056935802102089,0.9260355029585798,0.33499619364738464,0.9344504682109414,0.3113561272621155
5,1.0,0.012687665410339832,0.928007889546351,0.29129254817962646,0.936914736323312,0.2848536968231201
6,1.0,0.011803438887000084,0.9250493096646942,0.2808329463005066,0.9334647609659931,0.2618309259414673
7,1.0,0.01765960082411766,0.9240631163708086,0.29029330611228943,0.9324790537210449,0.27383527159690857
8,1.0,0.011248425580561161,0.9299802761341223,0.2676485478878021,0.9408575653031049,0.2535041272640228
9,1.0,0.01846925914287567,0.9319526627218935,0.28759729862213135,0.9349433218334154,0.27954649925231934
10,1.0,0.013917316682636738,0.9309664694280079,0.2792290151119232,0.9388861508132085,0.26092931628227234
11,1.0,0.018272820860147476,0.9349112426035503,0.263629287481308,0.9379004435682602,0.25150686502456665
12,1.0,0.019251624122262,0.9201183431952663,0.26503869891166687,0.9300147856086742,0.253981351852417
13,1.0,0.019200976938009262,0.928007889546351,0.26654383540153503,0.9324790537210449,0.2526543438434601
14,1.0,0.013701582327485085,0.9270216962524654,0.259025901556015,0.9344504682109414,0.24124370515346527
15,1.0,0.026339929550886154,0.9230769230769231,0.2880145013332367,0.9280433711187778,0.2827164828777313
16,1.0,0.018849538639187813,0.9260355029585798,0.2586591839790344,0.9379004435682602,0.243467316031456
