Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00039 | Train Acc: 0.6000 | Train Loss: 0.9315 | Valid Acc: 0.3009 | Valid loss: 2.0215 | Time: 0.0392
Epoch 00040 | Train Acc: 0.8500 | Train Loss: 0.6155 | Valid Acc: 0.2901 | Valid loss: 2.0434 | Time: 0.0391
Epoch 00041 | Train Acc: 0.8000 | Train Loss: 0.7632 | Valid Acc: 0.3088 | Valid loss: 2.0203 | Time: 0.0391
Epoch 00042 | Train Acc: 0.8000 | Train Loss: 0.8405 | Valid Acc: 0.3175 | Valid loss: 2.0347 | Time: 0.0390
Epoch 00043 | Train Acc: 0.8000 | Train Loss: 0.6517 | Valid Acc: 0.3055 | Valid loss: 2.0623 | Time: 0.0390
Epoch 00044 | Train Acc: 0.8500 | Train Loss: 0.6296 | Valid Acc: 0.3195 | Valid loss: 2.0440 | Time: 0.0390
Epoch 00045 | Train Acc: 0.8000 | Train Loss: 0.5341 | Valid Acc: 0.3098 | Valid loss: 2.0643 | Time: 0.0389
Epoch 00046 | Train Acc: 0.8500 | Train Loss: 0.5913 | Valid Acc: 0.3160 | Valid loss: 2.0758 | Time: 0.0388
Epoch 00047 | Train Acc: 0.8000 | Train Loss: 0.6147 | Valid Acc: 0.3183 | Valid loss: 2.0543 | Time: 0.0388
Epoch 00048 | Train Acc: 0.9000 | Train Loss: 0.5508 | Valid Acc: 0.3206 | Valid loss: 2.0772 | Time: 0.0387
Epoch 00049 | Train Acc: 0.8000 | Train Loss: 0.5495 | Valid Acc: 0.3216 | Valid loss: 2.0713 | Time: 0.0387
Epoch 00050 | Train Acc: 0.7500 | Train Loss: 0.6622 | Valid Acc: 0.3157 | Valid loss: 2.0936 | Time: 0.0386
Epoch 00051 | Train Acc: 0.9000 | Train Loss: 0.5102 | Valid Acc: 0.3188 | Valid loss: 2.0795 | Time: 0.0385
Epoch 00052 | Train Acc: 0.9000 | Train Loss: 0.5729 | Valid Acc: 0.3254 | Valid loss: 2.0818 | Time: 0.0385
Epoch 00053 | Train Acc: 0.9000 | Train Loss: 0.5294 | Valid Acc: 0.3206 | Valid loss: 2.1026 | Time: 0.0385
Epoch 00054 | Train Acc: 0.9000 | Train Loss: 0.4669 | Valid Acc: 0.3292 | Valid loss: 2.1023 | Time: 0.0384
Epoch 00055 | Train Acc: 0.8000 | Train Loss: 0.5847 | Valid Acc: 0.3193 | Valid loss: 2.1298 | Time: 0.0384
Epoch 00056 | Train Acc: 0.9000 | Train Loss: 0.4038 | Valid Acc: 0.3246 | Valid loss: 2.1518 | Time: 0.0383
Epoch 00057 | Train Acc: 0.9500 | Train Loss: 0.3582 | Valid Acc: 0.3170 | Valid loss: 2.1321 | Time: 0.0383
